## start, length, value
28, 0, -2
44, 0, -2
55, 0, -10
112, 0, -2
295, 0, -1
747, 0, -3
838, 0, -2
859, 0, -2
940, 0, -2
950, 0, -1
1002, 0, -2
1136, 0, -1
1167, 0, -2
1596, 0, -10
1750, 0, -1
1925, 0, -1
1979, 0, -1
2021, 0, -2
2058, 0, -1
2293, 0, -2
2688, 0, -1
3008, 0, -1
3248, 0, -1
3300, 0, -1
3350, 0, -2
3394, 0, -1
3441, 0, -1
3446, 0, -1
3475, 0, -2
3682, 0, -2
3963, 0, -1
4006, 0, -2
4271, 0, -2
4434, 0, -1
4782, 0, -1
4850, 0, -1
5402, 0, -2
5715, 0, -1
5745, 0, -1
5982, 0, 2
6100, 0, -1
6850, 0, -2
7001, 0, -1
7100, 0, -1
7341, 0, -1
7394, 0, -1
7514, 0, -1
7641, 0, -1
7794, 0, -1
8500, 0, -1
9233, 0, 2
9352, 0, -1
9509, 0, -1
9533, 0, -2
9864, 0, -1
9870, 0, -2
9982, 0, -1
10594, 0, -1
10597, 0, -1
10678, 0, -1
10904, 0, -2
11150, 0, -1
11549, 0, -2
11557, 0, -1
11694, 0, -1
11823, 0, 1
11868, 0, -4
11975, 0, -1
12290, 0, -2
12663, 0, 1
12716, 0, -1
12766, 0, -1
13054, 0, -1
13188, 0, -2
13260, 0, -1
13398, 0, -1
13726, 0, -1
14095, 0, -1
14174, 0, -1
14676, 0, -1
14791, 0, -1
14824, 0, -1
15370, 0, -1
15375, 0, -1
15994, 0, -1
16392, 0, -3
16450, 0, -1
16575, 0, -1
16892, 0, -1
17223, 0, -1
17716, 0, -1
17923, 0, 1
18008, 0, -1
18196, 0, -1
18410, 0, -1
18545, 0, -1
19500, 0, -1
19739, 0, -2
19802, 0, -1
19913, 0, -2
19930, 0, -2
20090, 0, -2
