## start, length, value
0, 20, 0
5, 0, 11
185, 195, 0
195, 0, 44
350, 360, 0
365, 370, 0
371, 380, 0
370, 0, 10
550, 600, 0
562, 0, 43
597, 0, 15
600, 1200, 0
1247, 0, -10
1265, 1275, 0
1276, 0, -10
1279, 1292, 0
1295, 0, -5
1312, 0, -10
1360, 0, -8
1381, 0, 38
1392, 0, -10
1408, 0, -8
1418, 0, 18
1440, 0, -17
1505, 0, -2
1536, 0, -13
1549, 0, 12
1552, 0, -17
1568, 0, -15
1630, 1635, 0
1632, 0, 23
1670, 0, 1
1719, 0, 1
1900, 0, 1
2000, 2005, 0
2002, 0, 89
2015, 0, -2
2032, 0, -20
2033, 2036, 0
2051, 2055, 0
2064, 0, -10
2075, 0, 17
2080, 0, -15
2095, 2100, 0
2096, 0, -15
2576, 0, -21
2744, 0, 11
2823, 0, 3
2848, 0, -45
3305, 0, 23
3491, 0, 7
3531, 0, 24
3632, 0, 16
3759, 0, -2
3768, 0, 1
3823, 0, -6
3995, 0, 6
4171, 0, 1
4236, 0, 37
4257, 0, -38
4272, 0, -7
4440, 0, 2
4490, 4499, 0
4497, 0, 25
4705, 0, 32
5068, 0, 11
5384, 0, 1
5573, 0, 32
5584, 0, -44
5645, 5678, 0
5648, 0, -65
5649, 0, -20
5664, 0, -18
5692, 0, 25
5779, 0, 20
5790, 0, -2
5805, 0, 2
5809, 0, 5
5810, 0, 7
5827, 5833, 0
5834, 0, 18
6135, 0, 2
6400, 6500, 0
6482, 0, 1
6510, 0, 5
6657, 6660, 0
6656, 0, -15
6800, 6850, 0
6768, 0, 1
6896, 0, 2
6912, 0, 2
6927, 0, 5
6986, 0, 2
7234, 0, 17
7903, 0, 33
7920, 7930, 0
7921, 0, -36
8200, 8300, 0
