## start, length, value
138, 0, 4
218, 0, 30
273, 0, 1
306, 0, 4
321, 0, 0
322, 0, 9
431, 0, -1
459, 0, -1
500, 0, -1
528, 0, -1
542, 0, 11
544, 0, -4
577, 0, -2
615, 0, 5
676, 0, 6
682, 0, -3
692, 0, -4
715, 0, 22
730, 0, 1
858, 0, -1
864, 0, -12
878, 0, -1
882, 0, -1
895, 0, -1
897, 0, -1
912, 0, -3
928, 0, -1
938, 0, -1
944, 0, -3
960, 0, -2
976, 0, -3
992, 0, -5
1034, 0, 1
1141, 0, 17
1153, 0, -2
1169, 0, -1
1185, 0, -1
1188, 0, -3
1460, 0, 1
1498, 0, 1
1722, 0, 7
1734, 0, 1
2000, 0, 8
2249, 0, -3
2256, 0, -9
2272, 0, -3
2273, 0, -2
2290, 0, -1
2304, 0, -2
2306, 0, -1
2310, 0, -1
2320, 0, -3
2338, 0, -1
2368, 0, -5
2430, 0, 20
2520, 0, 4
2546, 0, -3
2550, 2558, 0
2558, 0, -2
2565, 0, -3
3797, 0, 18
3809, 0, -1
3836, 0, -1
3840, 0, -6
4299, 0, 9
4384, 0, 1
4449, 0, -2
4464, 0, -5
4480, 0, -4
4495, 0, -2
4496, 0, -3
4513, 0, -1
4528, 0, -5
4544, 0, -6
4960, 0, 2
4993, 0, 10
5681, 0, 1
5841, 0, -2
5872, 0, -3
5888, 0, -3
5904, 0, -1
5920, 0, -2
5936, 0, -4
5947, 0, -1
6303, 0, 2
7391, 0, 15
7761, 0, 1
8751, 0, -1
8769, 0, -4
8785, 0, -1
8800, 0, -2
8816, 0, -3
10663, 0, 2
11309, 0, 32
11329, 0, -5
11344, 0, -6
11360, 0, -2
11376, 0, -5
11393, 0, -2
15327, 0, 1
15892, 0, 5
15905, 0, -5
15921, 0, -3
15937, 0, -3
15952, 0, -5
15968, 0, -4
18242, 0, -1
18256, 0, -6
18272, 0, -2
18305, 0, -1
